PM10 measurements at city  level;;;;;;;;;;;
PM10: percentage of population and exceedances. Results are shown at city level.;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_DLV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_DLV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_DLV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_DLV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;city_code;city_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc
AT;AT004C1;Salzburg;PM10;Particulate matter < 10 µm (aerosol);2009;3143,18933333333;1;144193,810666667;3;2,13333333333333;97,8666666666667
AT;AT004C1;Salzburg;PM10;Particulate matter < 10 µm (aerosol);2010;4714,784;1;142622,216;2;3,2;96,8
AT;AT004C1;Salzburg;PM10;Particulate matter < 10 µm (aerosol);2011;0;0;147337;4;0;100
AT;AT004C1;Salzburg;PM10;Particulate matter < 10 µm (aerosol);2012;0;0;147337;3;0;100
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2001;3542,976;1;3542,976;1;50;50
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2002;7085,952;2;0;0;100;0
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2003;7085,952;2;0;0;100;0
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2004;3542,976;1;3542,976;1;50;50
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2005;7085,952;2;0;0;100;0
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2006;7085,952;2;0;0;100;0
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2007;3542,976;1;3542,976;1;50;50
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2008;0;0;7085,952;2;0;100
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2009;0;0;7085,952;3;0;100
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2010;0;0;7085,952;2;0;100
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2011;0;0;7085,952;2;0;100
AT;AT005C1;Innsbruck;PM10;Particulate matter < 10 µm (aerosol);2012;0;0;7085,952;2;0;100
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2001;5967,104;1;0;0;100;0
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2002;5967,104;1;0;0;100;0
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2003;5967,104;1;0;0;100;0
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2004;2983,552;1;2983,552;1;50;50
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2005;2983,552;1;2983,552;1;50;50
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2006;5967,104;2;0;0;100;0
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2007;2983,552;2;2983,552;2;50;50
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2008;0;0;5967,104;4;0;100
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2009;0;0;5967,104;5;0;100
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2010;1989,03466666667;1;3978,06933333333;2;33,3333333333333;66,6666666666667
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2011;3978,06933333333;2;89257,9306666667;3;4,26666666666667;95,7333333333333
AT;AT006C1;Klagenfurt;PM10;Particulate matter < 10 µm (aerosol);2012;0;0;93236;2;0;100
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);1997;1003562;2;0;0;100;0
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);1998;1003562;2;0;0;100;0
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);1999;74263,588;1;929298,412;1;7,4;92,6
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2000;74263,588;1;929298,412;3;7,4;92,6
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2001;693795,862666667;3;309766,137333333;1;69,1333333333333;30,8666666666667
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2002;693795,862666667;4;309766,137333333;1;69,1333333333333;30,8666666666667
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2003;693795,862666667;4;309766,137333333;1;69,1333333333333;30,8666666666667
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2004;74263,588;1;929298,412;2;7,4;92,6
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2005;37131,794;1;966430,206;3;3,7;96,3
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2006;37131,794;1;966430,206;3;3,7;96,3
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2007;538912,794;3;464649,206;1;53,7;46,3
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2008;37131,794;1;966430,206;4;3,7;96,3
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2009;656664,068666667;3;346897,931333333;2;65,4333333333333;34,5666666666667
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2010;0;0;1003562;4;0;100
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2011;37131,794;1;966430,206;3;3,7;96,3
BE;BE001C1;Bruxelles / Brussel;PM10;Particulate matter < 10 µm (aerosol);2012;0;0;1003562;5;0;100
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);1996;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);1997;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);1998;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);1999;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2000;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2001;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2002;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2003;34195,252;1;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2004;248146,626;2;213951,374;1;53,7;46,3
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2005;248146,626;3;213951,374;2;53,7;46,3
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2006;462098;5;0;0;100;0
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2007;106975,687;1;355122,313;4;23,15;76,85
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2008;0;0;462098;5;0;100
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2009;106975,687;1;355122,313;4;23,15;76,85
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2010;0;0;462098;5;0;100
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2011;355122,313;4;106975,687;1;76,85;23,15
BE;BE002C1;Antwerpen;PM10;Particulate matter < 10 µm (aerosol);2012;0;0;462098;6;0;100
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);1996;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);1997;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);1998;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);1999;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2000;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2001;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2002;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2003;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2004;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2005;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2006;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2007;0;0;215061,648;1;0;100
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2008;0;0;215061,648;1;0;100
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2009;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2010;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2011;215061,648;1;0;0;100;0
BE;BE003C1;Gent;PM10;Particulate matter < 10 µm (aerosol);2012;215061,648;1;0;0;100;0
BE;BE004C1;Charleroi;PM10;Particulate matter < 10 µm (aerosol);1997;15066,326;1;0;0;100;0
BE;BE004C1;Charleroi;PM10;Particulate matter < 10 µm (aerosol);1998;15066,326;1;0;0;100;0
BE;BE004C1;Charleroi;PM10;Particulate matter < 10 µm (aerosol);1999;203599;2;0;0;100;0
BE;BE004C1;Charleroi;PM10;Particulate matter < 10 µm (aerosol);2000;203599;2;0;0;100;0
BE;BE004C1;Charleroi;PM10;Particulate matter < 10 µm (aerosol);2001;188532,674;1;0;0;100;0
