PM2.5 measurements at country level;;;;;;;;;;;
PM2.5: percentage of population and exceedances. Results are shown at country level  (including EU28 and EEA33 aggregates).;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;390417,37;2;2122916,96;11;15,5338414527605;84,4661585472395;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;882301,225;7;1642554,68;10;34,9446169681513;65,0553830318487;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;960304,61;8;1564551,295;10;38,0340362433475;61,9659637566525;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;147468,7125;1;2281907,2475;16;6,0702301713729;93,9297698286271;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;147468,7125;1;2281907,2475;16;6,0702301713729;93,9297698286271;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;294937,425;2;2134438,535;15;12,1404603427458;87,8595396572542;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;368939,42;3;1995755,345;13;15,6019891218392;84,3980108781608;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;294937,425;2;2288952,76;18;11,4144721285824;88,5855278714177;
CZ;Czech Republic;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;294937,425;2;2474431,905;21;10,6499852441133;89,3500147558867;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;0;0;879400,614;4;0;100;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;894069,132;5;0;100;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;2591658,522;10;0;100;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;10460,95;2;2469173,268;11;0,421874723459716;99,5781252765403;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;18267,804;1;3168647,342;16;0,573212751614316;99,4267872483857;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;11751205,322;38;0;100;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;18267,804;1;14578466,662;56;0,125149937080454;99,8748500629195;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;24818,042;2;15783220,138;74;0,156996343995419;99,8430036560046;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;16014094,234;87;0;100;
DE;Germany;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;16184252,532;88;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;489882;2;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;489882;2;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;457549,788;1;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;489882;2;0;100;
DK;Denmark;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;974328;7;0;100;
